check_date,ticker,name,stage,prev_day_pct,vs_topix_5day_pt,volume_ratio,usd_jpy_1day_change_yen,us10y_1day_change_pt,bad_news_yes_no,earnings_bad_yes_no,theme_break_yes_no,decision_formula,action_formula,manual_note
"","3099.T","三越伊勢丹HD","初回主力","","","","","","","","","=IF(OR(J2=""YES"",K2=""YES"",L2=""YES""),""停止・入替確認"",IF(OR(F2<=-5,I2>=0.15,H2<=-2),""追加停止"",IF(AND(E2>=3,G2>=1.5),""追わず翌営業日確認"",IF(E2<=-5,""理由確認"",""継続""))))","=IF(M2=""継続"",""保有継続・計画どおり"",IF(M2=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M2=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M2=""理由確認"",""IR/ニュース/出来高を確認"",IF(M2=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","5333.T","日本ガイシ","初回主力","","","","","","","","","=IF(OR(J3=""YES"",K3=""YES"",L3=""YES""),""停止・入替確認"",IF(OR(F3<=-5,I3>=0.15,H3<=-2),""追加停止"",IF(AND(E3>=3,G3>=1.5),""追わず翌営業日確認"",IF(E3<=-5,""理由確認"",""継続""))))","=IF(M3=""継続"",""保有継続・計画どおり"",IF(M3=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M3=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M3=""理由確認"",""IR/ニュース/出来高を確認"",IF(M3=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","6479.T","ミネベアミツミ","初回主力","","","","","","","","","=IF(OR(J4=""YES"",K4=""YES"",L4=""YES""),""停止・入替確認"",IF(OR(F4<=-5,I4>=0.15,H4<=-2),""追加停止"",IF(AND(E4>=3,G4>=1.5),""追わず翌営業日確認"",IF(E4<=-5,""理由確認"",""継続""))))","=IF(M4=""継続"",""保有継続・計画どおり"",IF(M4=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M4=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M4=""理由確認"",""IR/ニュース/出来高を確認"",IF(M4=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8316.T","三井住友FG","初回主力","","","","","","","","","=IF(OR(J5=""YES"",K5=""YES"",L5=""YES""),""停止・入替確認"",IF(OR(F5<=-5,I5>=0.15,H5<=-2),""追加停止"",IF(AND(E5>=3,G5>=1.5),""追わず翌営業日確認"",IF(E5<=-5,""理由確認"",""継続""))))","=IF(M5=""継続"",""保有継続・計画どおり"",IF(M5=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M5=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M5=""理由確認"",""IR/ニュース/出来高を確認"",IF(M5=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","1942.T","関電工","初回主力","","","","","","","","","=IF(OR(J6=""YES"",K6=""YES"",L6=""YES""),""停止・入替確認"",IF(OR(F6<=-5,I6>=0.15,H6<=-2),""追加停止"",IF(AND(E6>=3,G6>=1.5),""追わず翌営業日確認"",IF(E6<=-5,""理由確認"",""継続""))))","=IF(M6=""継続"",""保有継続・計画どおり"",IF(M6=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M6=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M6=""理由確認"",""IR/ニュース/出来高を確認"",IF(M6=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8306.T","三菱UFJ FG","追加候補","","","","","","","","","=IF(OR(J7=""YES"",K7=""YES"",L7=""YES""),""停止・入替確認"",IF(OR(F7<=-5,I7>=0.15,H7<=-2),""追加停止"",IF(AND(E7>=3,G7>=1.5),""追わず翌営業日確認"",IF(E7<=-5,""理由確認"",""継続""))))","=IF(M7=""継続"",""保有継続・計画どおり"",IF(M7=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M7=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M7=""理由確認"",""IR/ニュース/出来高を確認"",IF(M7=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8750.T","第一生命HD","追加候補","","","","","","","","","=IF(OR(J8=""YES"",K8=""YES"",L8=""YES""),""停止・入替確認"",IF(OR(F8<=-5,I8>=0.15,H8<=-2),""追加停止"",IF(AND(E8>=3,G8>=1.5),""追わず翌営業日確認"",IF(E8<=-5,""理由確認"",""継続""))))","=IF(M8=""継続"",""保有継続・計画どおり"",IF(M8=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M8=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M8=""理由確認"",""IR/ニュース/出来高を確認"",IF(M8=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8630.T","SOMPO HD","追加候補","","","","","","","","","=IF(OR(J9=""YES"",K9=""YES"",L9=""YES""),""停止・入替確認"",IF(OR(F9<=-5,I9>=0.15,H9<=-2),""追加停止"",IF(AND(E9>=3,G9>=1.5),""追わず翌営業日確認"",IF(E9<=-5,""理由確認"",""継続""))))","=IF(M9=""継続"",""保有継続・計画どおり"",IF(M9=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M9=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M9=""理由確認"",""IR/ニュース/出来高を確認"",IF(M9=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8795.T","T&D HD","追加候補","","","","","","","","","=IF(OR(J10=""YES"",K10=""YES"",L10=""YES""),""停止・入替確認"",IF(OR(F10<=-5,I10>=0.15,H10<=-2),""追加停止"",IF(AND(E10>=3,G10>=1.5),""追わず翌営業日確認"",IF(E10<=-5,""理由確認"",""継続""))))","=IF(M10=""継続"",""保有継続・計画どおり"",IF(M10=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M10=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M10=""理由確認"",""IR/ニュース/出来高を確認"",IF(M10=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
"","8411.T","みずほFG","追加候補","","","","","","","","","=IF(OR(J11=""YES"",K11=""YES"",L11=""YES""),""停止・入替確認"",IF(OR(F11<=-5,I11>=0.15,H11<=-2),""追加停止"",IF(AND(E11>=3,G11>=1.5),""追わず翌営業日確認"",IF(E11<=-5,""理由確認"",""継続""))))","=IF(M11=""継続"",""保有継続・計画どおり"",IF(M11=""追加停止"",""買い増し停止・翌営業日再確認"",IF(M11=""追わず翌営業日確認"",""当日買わない・翌営業日に指値再検討"",IF(M11=""理由確認"",""IR/ニュース/出来高を確認"",IF(M11=""停止・入替確認"",""新規買付停止・候補入替検討"",""入力待ち"")))))",""
