記録時刻,旧順位,コード,銘柄,旧扱い,新扱い,理由
2026/05/28 22:41,1,5803.T,フジクラ,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,2,8002.T,丸紅,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,3,6857.T,アドバンテスト,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,4,8058.T,三菱商事,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,5,8053.T,住友商事,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,6,8031.T,三井物産,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,7,8306.T,三菱UFJ FG,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,8,1605.T,INPEX,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,9,5802.T,住友電工,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
2026/05/28 22:41,10,6501.T,日立製作所,候補10社,仮候補,100社母集団を同一指標で再計算し直すため。購入候補として固定しない。
