updated_at,ticker,name,role,event_date,source_kind,base_date,base_close,after_1d_date,excess_1d_pct,after_5d_date,excess_5d_pct,after_20d_date,excess_20d_pct,reaction_score,reaction_status,score_connection,source_url,source_note
2026/06/13 22:19,8053.T,住友商事,中心候補,2026-05-01,既存反応CSV,2026-05-01,6840,2026-05-07,2.61,2026-05-13,6.24,2026-06-03,-14.91,43.7,20営業日到達,採点接続候補,https://www.sumitomocorp.com/ja/jp/ir/financial,869_candidate10_earnings_reaction_rebuild_20260604.csvの既存接続日付を使用。
2026/06/13 22:19,8316.T,三井住友FG,中心候補,2026-05-13,既存反応CSV,2026-05-13,5852,2026-05-14,-2.05,2026-05-20,5.99,2026-06-10,4.97,57.1,20営業日到達,採点接続候補,https://www.smfg.co.jp/investor/financial/latest_statement/,869_candidate10_earnings_reaction_rebuild_20260604.csvの既存接続日付を使用。
2026/06/13 22:19,6501.T,日立製作所,中心候補,2026-04-27,公式IRページ,2026-04-27,5356,2026-04-28,-4.75,2026-05-08,-11.4,2026-05-29,-13.12,29.1,20営業日到達,採点接続候補,https://www.hitachi.com/ja-jp/ir/library/fr/,日立公式IRページで、2026年3月期連結決算説明会が2026年4月27日と確認できる。
2026/06/13 22:19,6503.T,三菱電機,条件付き候補,2026-04-28,既存反応CSV,2026-04-28,6078,2026-04-30,3.57,2026-05-11,1.9,2026-06-01,-11.55,43.9,20営業日到達,採点接続候補,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,869_candidate10_earnings_reaction_rebuild_20260604.csvの既存接続日付を使用。
2026/06/13 22:19,6857.T,アドバンテスト,条件付き候補,2026-04-27,公式PDF,2026-04-27,31500,2026-04-28,-4.53,2026-05-08,-8.72,2026-05-29,-26.49,20.4,20営業日到達,採点接続候補,https://www.advantest.com/document/ja/investors/ir-library/result/J_FR_FY2025_FN.pdf,AI関連の高性能半導体向けテスタ需要拡大。ローカルpypdfは暗号化で失敗したため、PDF本文確認で入力。
2026/06/13 22:19,8035.T,東京エレクトロン,条件付き候補,2026-04-30,公式決算短信PDF,2026-04-30,44390,2026-05-01,6.51,2026-05-12,11.67,2026-06-02,8.43,68.2,20営業日到達,採点接続候補,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,東京エレクトロン公式決算短信PDFの表紙に2026年4月30日と記載。
2026/06/13 22:19,7011.T,三菱重工業,条件付き候補,2026-05-12,既存短期反応CSV,2026-05-12,4300,2026-05-13,1.62,2026-05-19,-0.55,2026-06-09,-19.87,34.5,20営業日到達,採点接続候補,https://finance.yahoo.co.jp/quote/7011.T/disclosure,656_focus10_reaction_metrics.csvの既存接続日付を使用。
2026/06/13 22:19,6762.T,TDK,条件付き候補,2026-04-28,公式PDF,2026-04-28,2677,2026-04-30,9.03,2026-05-11,5.5,2026-06-01,41.6,91.6,20営業日到達,採点接続候補,https://www.tdk.com/system/files/2026042800_0mqf56xw_ja.pdf,売上成長は小さいが利益成長は継続。電子部品・電池テーマとして株価過熱も確認。
2026/06/13 22:19,6146.T,ディスコ,条件付き候補,2026-04-22,公式PDF,2026-04-22,74830,2026-04-23,-3.03,2026-04-30,-0.59,2026-05-26,-19.66,32.3,20営業日到達,採点接続候補,https://www.disco.co.jp/jp/ir/library/doc/fr/fr20260422.pdf,半導体製造装置の高収益銘柄。PBRが高いため割高耐性の確認が必須。
2026/06/13 22:19,5803.T,フジクラ,条件付き候補,2026-05-14,TDnet PDF,2026-05-14,6355,2026-05-15,-6.45,2026-05-21,-27.63,2026-06-11,-37.32,0,20営業日到達,採点接続候補,https://www2.jpx.co.jp/disc/58030/140120260514532598.pdf,決算短信本文で確認。ローカルpypdfは暗号化で失敗したため、PDF本文確認で入力。
