ticker,company,status,qualitative_themes,buy_rule,sell_risk_rule,event_monitor_action
6762.T,TDK,テスト中心候補,HBM・先端パッケージ / AI半導体投資 / 円安,6月イベント後に市場条件が悪化せず、公式決算・PER/PBR/ROE・決算後反応が確認できた場合だけ少額テストを検討。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 SOX指数や主要顧客投資計画が悪化した場合は半導体テーマの上限を下げる。,関連イベント発生時は当日確認
8316.T,三井住友FG,条件付きテスト候補,金利上昇 / 自社株買い・増配・資本効率,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,関連イベント発生時は当日確認
2802.T,味の素,条件付きテスト候補,食品値上げ耐性 / 円高 / 原油・ナフサ下落,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,関連イベント発生時は当日確認
5020.T,ENEOS HD,補完後に再判定,原油・中東リスク / 原油・ナフサ下落,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,週次または補完時に確認
6367.T,ダイキン工業,比較・観察候補,データセンター冷却 / 円安,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,週次または補完時に確認
6503.T,三菱電機,比較・観察候補,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,週次または補完時に確認
8766.T,東京海上HD,条件付きテスト候補,金利上昇 / 自社株買い・増配・資本効率,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,関連イベント発生時は当日確認
4385.T,メルカリ,補完後に再判定,人手不足・省人化 / 国内消費・プラットフォーム,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,週次または補完時に確認
8306.T,三菱UFJ FG,補完後に再判定,金利上昇 / 自社株買い・増配・資本効率,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,週次または補完時に確認
6146.T,ディスコ,補完後に再判定,AI半導体投資 / 半導体工程の寡占・高シェア / HBM・先端パッケージ,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 SOX指数や主要顧客投資計画が悪化した場合は半導体テーマの上限を下げる。,週次または補完時に確認
