generated_at,ticker,company,current_priority,current_handling,base_score,data_completion,key_numbers,caution_items,quantitative_check,macro_check,market_check,sector_check,individual_check,qualitative_event_check,hard_stop_count,recheck_score,recheck_result,memo
2026/05/27 12:43,8316.T,三井住友FG,A 中心候補,中心確認,64.1,10/10,最終補正64.1点 / データ10/10 / PER13.40倍 / PBR1.44倍 / ROE10.38% / 利益34% / 1年65% / 決算後反応55.5点,大きな警戒なし,未入力,未入力,未入力,未入力,未入力,未入力,0,64.1,6月イベント後に入力,
2026/05/27 12:43,2802.T,味の素,A- 追加確認付き中心候補,追加確認,66.4,10/10,最終補正66.4点 / データ10/10 / PER42.38倍 / PBR6.60倍 / ROE17.75% / 利益75% / 1年51.6% / 決算後反応65.8点,PER42.38倍で割高確認 / PBR6.6倍で割高確認,未入力,未入力,未入力,未入力,未入力,未入力,0,66.4,6月イベント後に入力,
2026/05/27 12:43,6762.T,TDK,A- 追加確認付き中心候補,追加確認,63.2,10/10,最終補正63.2点 / データ10/10 / PER31.22倍 / PBR3.21倍 / ROE9.81% / 利益21.5% / 1年135.7% / 決算後反応63.8点,PER31.22倍でやや高め,未入力,未入力,未入力,未入力,未入力,未入力,0,63.2,6月イベント後に入力,
2026/05/27 12:43,8053.T,住友商事,A- 追加確認付き中心候補,追加確認,60.8,10/10,最終補正60.8点 / データ10/10 / PER13.73倍 / PBR1.87倍 / ROE12.94% / 利益0.9% / 1年98.2% / 決算後反応59.6点,成長確認: 売上0.6% / 利益0.9%,未入力,未入力,未入力,未入力,未入力,未入力,0,60.8,6月イベント後に入力,
2026/05/27 12:43,8306.T,三菱UFJ FG,B 条件付き候補,不足補完,54.4,9/10,最終補正54.4点 / データ9/10 / PER未取得 / PBR1.54倍 / ROE11.34% / 利益27.7% / 1年53.6% / 決算後反応55.4点,未取得: PER,未入力,未入力,未入力,未入力,未入力,未入力,0,54.4,6月イベント後に入力,
2026/05/27 12:43,7173.T,東京きらぼしFG,C 監視候補,監視,66.4,10/10,最終補正66.4点 / データ10/10 / PER8.83倍 / PBR0.96倍 / ROE10.66% / 利益45.2% / 1年114.1% / 決算後反応34.5点,決算後反応34.5点,未入力,未入力,未入力,未入力,未入力,未入力,0,66.4,6月イベント後に入力,
2026/05/27 12:43,9984.T,ソフトバンクG,C 監視候補,監視,61.8,9/10,最終補正61.8点 / データ9/10 / PER未取得 / PBR2.45倍 / ROE34.28% / 利益259.9% / 1年285.2% / 決算後反応52.9点,未取得: PER / 1年上昇285.2%,未入力,未入力,未入力,未入力,未入力,未入力,0,61.8,6月イベント後に入力,
2026/05/27 12:43,7735.T,SCREEN HD,C 監視候補,監視,49.1,10/10,最終補正49.1点 / データ10/10 / PER19.65倍 / PBR4.44倍 / ROE20.28% / 利益-9.7% / 1年117.5% / 決算後反応57.3点,利益成長マイナス: -9.7% / 成長確認: 売上-3.1% / 利益-9.7%,未入力,未入力,未入力,未入力,未入力,未入力,0,49.1,6月イベント後に入力,
2026/05/27 12:43,6146.T,ディスコ,C 監視候補,監視,46.2,9/10,最終補正46.2点 / データ9/10 / PER未取得 / PBR12.74倍 / ROE25.15% / 利益10.9% / 1年103.5% / 決算後反応55.6点,未取得: PER / PBR12.74倍,未入力,未入力,未入力,未入力,未入力,未入力,0,46.2,6月イベント後に入力,
2026/05/27 12:43,7011.T,三菱重工業,C 監視候補,監視,35.9,10/10,最終補正35.9点 / データ10/10 / PER34.29倍 / PBR4.22倍 / ROE12.22% / 利益26.7% / 1年18.2% / 決算後反応50.6点,60日最大下落-25.3% / PER34.29倍でやや高め,未入力,未入力,未入力,未入力,未入力,未入力,0,35.9,6月イベント後に入力,
