ticker,name,role,target_weight_pct,universe_rank,universe_status,reaction_score,excess_20d_pct,data_status,financial_status,risk_status,tax_status,missing_items,hard_gate,action,reason
8053.T,住友商事,中心候補,18.75%,3,再選定候補,43.7,-14.91%,pass,pass,partial,partial,リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 20営業日で日経平均に大きく劣後
8316.T,三井住友FG,中心候補,18.75%,6,再選定候補,57.1,4.97%,pass,pass,partial,partial,リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動
6501.T,日立製作所,中心候補,18.75%,23,再選定候補,29.1,-13.12%,pass,pass,partial,partial,リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
6503.T,三菱電機,条件付き候補,6.25%,9,再選定候補,43.9,-11.55%,pass,partial,partial,partial,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 20営業日で日経平均に大きく劣後
6857.T,アドバンテスト,条件付き候補,6.25%,15,監視,20.4,-26.49%,pass,partial,partial,partial,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では監視扱い / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
8035.T,東京エレクトロン,条件付き候補,6.25%,30,監視,68.2,8.43%,pass,partial,partial,partial,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では監視扱い
7011.T,三菱重工業,条件付き候補,6.25%,20,除外,34.5,-19.87%,pass,partial,partial,partial,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近1年でS&P500に劣後 / 直近60日が弱い / 20営業日で日経平均に大きく劣後
6762.T,TDK,条件付き候補,6.25%,33,再選定候補,91.6,41.6%,pass,partial,partial,partial,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動
6146.T,ディスコ,条件付き候補,6.25%,16,除外,32.3,-19.66%,partial,partial,partial,partial,価格・出来高データ / 財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近60日が弱い / 5年最大下落率が大きい / 20営業日で日経平均に大きく劣後
5803.T,フジクラ,条件付き候補,6.25%,13,除外,0,-37.32%,partial,partial,partial,partial,価格・出来高データ / 財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,購入停止,買付不可。6/18以降のイベント入力と本人操作確認後に再判定,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近1年の下落率が大きい / 急騰後の反動確認が必要 / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
