ticker,name,channel,role,default_data,default_financial,default_reaction,default_theme,default_risk,default_tax
8053.T,住友商事,総合候補,商社・資源・還元,partial,partial,partial,partial,partial,partial
8316.T,三井住友FG,総合候補,銀行・金利・還元,partial,partial,partial,partial,partial,partial
6503.T,三菱電機,総合候補,電力制御・FA・複合,partial,partial,partial,partial,partial,partial
6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,partial,partial,partial,partial,partial,partial
6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,partial,partial,partial,partial,partial,partial
8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,partial,partial,partial,partial,partial,partial
6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,partial,partial,partial,partial,partial,partial
5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,partial,partial,partial,partial,partial,partial
7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,partial,partial,partial,partial,partial,partial
6762.T,TDK,フィジカルAI,電源・センサー・電子部品,partial,partial,partial,partial,partial,partial
6954.T,ファナック,フィジカルAI,FA・ロボット,partial,partial,partial,partial,partial,partial
6861.T,キーエンス,フィジカルAI,センサー・画像処理,partial,partial,partial,partial,partial,partial
6702.T,富士通,量子コンピューター,量子・HPC・AI基盤,partial,partial,partial,partial,partial,partial
6701.T,NEC,量子コンピューター,量子・AI・防衛IT,partial,partial,partial,partial,partial,partial
