日付,種別,実施内容,売買予定,判断基準
2026-06-10（水）,米CPI確認,米CPI発表後に、米10年金利、ドル円、S&P500、NASDAQ、日経先物の反応を記録する。,売買しない,CPI再加速または米金利急騰なら、6月18日の初回投入を縮小または延期候補にする。
2026-06-11（木）,CPI翌日確認,日本市場で銀行、保険、商社、重工、電線候補の反応を確認する。,売買しない,候補10社が日経平均に大きく劣後する場合は、投入候補順位を下げる。
2026-06-15（月）,日銀会合1日目,ドル円、銀行株、保険株、日経平均の事前反応を確認する。,売買しない,円高警戒、銀行株の材料出尽くし、指数下落が強い場合は初回投入を抑制。
2026-06-16（火）,日銀結果確認 / FOMC 1日目,日銀の政策結果、声明、ドル円、銀行・保険セクター反応を記録する。,原則売買しない,日銀後に円高ショックや指数急落がなければ、銀行・保険の中心候補を維持。
2026-06-17（水）,FOMC結果確認,FOMC声明、SEP、米10年金利、米株、ドル円の反応を確認する。,原則売買しない,米金利急騰や米株急落があれば、6月18日の投入を見送る。
2026-06-18（木）,初回投入判定日,CPI、日銀、FOMC後の市場反応を総合し、候補10社を再計算する。,条件良好なら30%のうち半分から開始、悪化なら見送り,日経平均75日線維持、金利急騰なし、ドル円急変なし、候補の停止条件なし。
2026-06-19（金）,初回投入実行候補日,6月18日の判定が良好なら初回30%を実行候補とする。,"最大30% / 600,000円",前日判定が良好、かつ当日寄付き後に候補が急騰していないこと。
2026-06-24（水）,第2投入判定日,初回投入後の損益、日経平均差、S&P500差、銘柄別停止条件を確認する。,条件良好なら追加候補,初回投入銘柄が指数に大きく劣後せず、個別悪材料がないこと。
2026-06-26（金）,第2投入実行候補日,6月24日の判定が良好なら第2投入を実行候補とする。,"最大25% / 500,000円",候補の価格が急騰していないこと。過熱枠は追加しない。
2026-07-03（金）,第3投入判定・実行候補日,6月末値、月次反応、75日線、候補別下落率、ベンチマーク差を確認する。,"最大20% / 400,000円",市場安定、候補の停止条件なし、初回・第2投入分が想定内の値動き。
2026-07-17（金）,中間点検,1か月弱の反応を確認し、日経平均・S&P500双方に劣後していないかを見る。,原則追加しない,双方に大きく劣後する銘柄は追加停止、仮説確認へ回す。
2026-07-31（金）,月末点検,月末時点の損益、指数差、銘柄別上値・下値ルールへの抵触を確認する。,原則追加しない,+20%到達銘柄は一部利確検討、-10%銘柄は保有再判定。
2026-08-14（金）,決算後追加判定,4〜6月期決算、会社予想、決算後1日/5日反応を確認する。,"最大15% / 300,000円",業績成長、上方修正、増配、決算後反応が確認できる銘柄だけ追加候補。
2026-08-28（金）,20営業日反応確認,決算後20営業日前後の株価反応を確認し、1年保有候補を再整理する。,入替・減額の検討,決算内容が良くても20営業日で市場評価が弱い銘柄は追加停止。
