updated_at,ticker,name,metric_group,metric_label,hit_no,matched_pattern,number_candidates,snippet,source_url,review_status
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,1,売上,"03 / -5250 / -8111 / 1 / 2026 / 3 / 1,583,719 / 3.5 / 181,163 / 13.7","/ 代表者 （役職名） 代表執行役社長 （氏名）中村 茂雄 問合せ先責任者 （役職名） 執行理事グローバル財務部長 （氏名）渡辺 一臣 TEL 03-5250-8111 （百万円未満切捨て） （1）連結経営成績 （％表示は、対前期増減率） 売上高 事業利益 税引前当期利益 当期利益 親会社の所有者に 帰属する当期利益 当期包括利益 合計額 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 1,583,719 3.5 181,163 13.7",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,2,売上,"9,302 / 7.9 / 108,330 / 23.7 / 80,773 / 20.8 / 70,272 / 19.3 / 72,537 / 63.7 / 1株 / 2026 / 3 / 138.36","9,302 7.9 108,330 △23.7 80,773 △20.8 70,272 △19.3 72,537 △63.7 基本的1株当たり 当期利益 希薄化後 1株当たり当期利益 親会社所有者帰属持分 当期利益率 資産合計 事業利益率 売上高 事業利益率 円 銭 円 銭 ％ ％ ％ 2026年3月期 138.36 138.36 17.7 10.3 11.4 2025年3月期 69.77 69.77 9.0 9.1 10.4 （参考）持分法による損益 2026年3月期 8,11",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,3,売上,2 / 2025 / 4 / 1 / 1株,用にあたり、投資家、取締役会及び経営会議が各事業の恒常的な業績や将来の見通しを把握すること、取締 役会及び経営会議が継続的に事業ポートフォリオを評価することを目的として、「事業利益」という段階利益を導入しております。 当該「事業利益」は、「売上高」から「売上原価」、「販売費」、「研究開発費」及び「一般管理費」を控除し、「持分法による損益」を加 えたものであり、「その他の営業収益」及び「その他の営業費用」を含まない段階利益です。 （注）2．当社は、2025年4月1日付で普通株式1株,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,4,売上,2 / 2025 / 4 / 1 / 1株 / 2株,資家、取締役会及び経営会議が各事業の恒常的な業績や将来の見通しを把握すること、取締 役会及び経営会議が継続的に事業ポートフォリオを評価することを目的として、「事業利益」という段階利益を導入しております。 当該「事業利益」は、「売上高」から「売上原価」、「販売費」、「研究開発費」及び「一般管理費」を控除し、「持分法による損益」を加 えたものであり、「その他の営業収益」及び「その他の営業費用」を含まない段階利益です。 （注）2．当社は、2025年4月1日付で普通株式1株につき2株の株,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,5,売上,"2025 / 4 / 1 / 1株 / 2株 / 3 / 22 / 1,723,000 / 8.8 / 197,000 / 8.7 / 120,000 / 10.9 / 126.16","．配当の状況 （注）当社は、2025年4月1日付で普通株式1株につき2株の株式分割を行っております。2025年3月期については、当該株式分割前の実際の配当金 の額を記載しております。 -- 1 of 22 -- （％表示は、対前期増減率） 売上高 事業利益 親会社の所有者に 帰属する当期利益 基本的1株当たり 当期利益 百万円 ％ 百万円 ％ 百万円 ％ 円 銭 通期 1,723,000 8.8 197,000 8.7 120,000 △10.9 126.16 ① 期末発行済株式",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,6,売上,"26 / 3 / 19,290,839株 / 2025 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0","26年3月期 19,290,839株 2025年3月期 11,237,848株 ③ 期中平均株式数 2026年3月期 973,367,344株 2025年3月期 1,007,203,566株 （1）個別経営成績 （％表示は、対前期増減率） 売上高 営業利益 経常利益 当期純利益 百万円 ％ 百万円 ％ 百万円 ％ 百万円 ％ 2026年3月期 317,757 1.3 △20,216 － 121,248 2.0 142,812 58.5 2025年3月期 313,636 2.1 △",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,7,売上,"19 / 20 / 1 / 2802 / 2026 / 3 / 22 / 148 / 9,369 / 409 / 104.6％ / 1,430 / 89 / 106.6％","………………… 19 （重要な後発事象） ……………………………………………………………………………………………… 20 ○添付資料の目次 - 1 - 味の素㈱(2802) 2026年3月期決算短信 -- 3 of 22 -- 対前期実績 売上高（億円） 事業利益（億円） 第148期 前期増減 前期比 第148期 前期増減 前期比 調味料・食品 9,369 409 104.6％ 1,430 89 106.6％ 冷凍食品 2,903 9 100.3％ 84 △45 65.0％ ヘル",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,8,売上,1,用に当たり、投資家、取締役会及び経営会議が各事業の恒常的な業績や将来の見通しを把 握すること、取締役会及び経営会議が継続的に事業ポートフォリオを評価することを目的として、「事業利益」という 段階利益を導入しております。当該「事業利益」は、「売上高」から「売上原価」、「販売費」、「研究開発費」及び 「一般管理費」を控除し、「持分法による損益」を加えたものであり、「その他の営業収益」及び「その他の営業費 用」を含まない段階利益です。 1．当期の概況 当連結会計年度の売上高は、調味料・,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,9,売上,1,資家、取締役会及び経営会議が各事業の恒常的な業績や将来の見通しを把 握すること、取締役会及び経営会議が継続的に事業ポートフォリオを評価することを目的として、「事業利益」という 段階利益を導入しております。当該「事業利益」は、「売上高」から「売上原価」、「販売費」、「研究開発費」及び 「一般管理費」を控除し、「持分法による損益」を加えたものであり、「その他の営業収益」及び「その他の営業費 用」を含まない段階利益です。 1．当期の概況 当連結会計年度の売上高は、調味料・食品セグメント,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,10,売上,"1 / 531億円 / 5,837億円 / 103.5％ / 218","業利益」は、「売上高」から「売上原価」、「販売費」、「研究開発費」及び 「一般管理費」を控除し、「持分法による損益」を加えたものであり、「その他の営業収益」及び「その他の営業費 用」を含まない段階利益です。 1．当期の概況 当連結会計年度の売上高は、調味料・食品セグメント及びヘルスケア等セグメントの増収等により、前期を531億円 上回る1兆5,837億円（前期比103.5％）となりました。 事業利益は、ヘルスケア等セグメント及び調味料・食品セグメントの増益等により、前期を218億",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,数値候補あり・要確認
