generated_at,順位,銘柄,暫定区分,補正後点,データ充足,量的根拠,質的テーマ,注意点,6月に残す条件,外す条件,直近扱い,60日下落率
2026/05/27 13:17,1,8316.T 三井住友FG,中心確認,64.1,10/10,補正64.1点 / PER13.40倍 / PBR1.44倍 / ROE10.38% / 利益34% / 1年65% / 反応55.5点,銀行・金利上昇テーマ,大きな警戒なし,日銀後に銀行株全体が崩れず、金利上昇メリットと信用コスト悪化が同時に出ない。,日銀後の銀行株下落、信用コスト悪化、金利上昇メリットの後退。,6月再判定で優先確認,-16.5%
2026/05/27 13:17,2,2802.T 味の素,追加確認付き中心,66.4,10/10,補正66.4点 / PER42.38倍 / PBR6.60倍 / ROE17.75% / 利益75% / 1年51.6% / 反応65.8点,食品・生活防衛 / ABF・ヘルスケア確認,PER42.38倍で割高確認 / PBR6.6倍で割高確認,高PERを利益成長と決算後反応で説明でき、6月イベント後に大きく指数劣後しない。,高PERのまま利益成長鈍化、または決算後反応が日経平均比で悪化。,6月再判定で優先確認,-15.9%
2026/05/27 13:17,3,6762.T TDK,追加確認付き中心,63.2,10/10,補正63.2点 / PER31.22倍 / PBR3.21倍 / ROE9.81% / 利益21.5% / 1年135.7% / 反応63.8点,電子部品・AI/半導体周辺,PER31.22倍でやや高め,AI/電子部品テーマがSOXや半導体指数に連動しつつ、過熱下落が限定的。,SOX下落、AI/半導体テーマの失速、決算後反応の指数劣後。,6月再判定で優先確認,-20%
2026/05/27 13:17,4,8053.T 住友商事,追加確認付き中心,60.8,10/10,補正60.8点 / PER13.73倍 / PBR1.87倍 / ROE12.94% / 利益0.9% / 1年98.2% / 反応59.6点,商社・資源/株主還元/バフェット関連,成長確認: 売上0.6% / 利益0.9%,商社・資源・還元テーマが維持され、決算後反応と株価維持が続く。,資源価格・為替・還元姿勢が悪化し、商社株全体が指数劣後。,6月再判定で優先確認,-17.9%
2026/05/27 13:17,5,8306.T 三菱UFJ FG,条件付き確認,54.4,9/10,補正54.4点 / PER未取得 / PBR1.54倍 / ROE11.34% / 利益27.7% / 1年53.6% / 反応55.4点,銀行・金利上昇テーマの補欠,未取得: PER,PER相当の確認または代替指標で割高感を説明し、銀行枠の重複を整理できる。,日銀後の銀行株下落、信用コスト悪化、金利上昇メリットの後退。,6月再判定で優先確認,-13.6%
2026/05/27 13:17,6,7173.T 東京きらぼしFG,監視,66.4,10/10,補正66.4点 / PER8.83倍 / PBR0.96倍 / ROE10.66% / 利益45.2% / 1年114.1% / 反応34.5点,地銀・金利上昇テーマの高反応確認,決算後反応34.5点,決算後反応の弱さが一時的と確認でき、出来高・銀行株指数・再反応が改善する。,日銀後の銀行株下落、信用コスト悪化、金利上昇メリットの後退。,監視継続,-19.2%
2026/05/27 13:17,7,9984.T ソフトバンクG,監視,61.8,9/10,補正61.8点 / PER未取得 / PBR2.45倍 / ROE34.28% / 利益259.9% / 1年285.2% / 反応52.9点,AI投資・大型成長株の監視,未取得: PER / 1年上昇285.2%,1年上昇の過熱が落ち着き、決算後20営業日反応と6月イベント後の価格維持を確認できる。,過熱の反動、米金利上昇、AI関連株下落で大きく指数劣後。,監視継続,-21.6%
2026/05/27 13:17,8,7735.T SCREEN HD,監視,49.1,10/10,補正49.1点 / PER19.65倍 / PBR4.44倍 / ROE20.28% / 利益-9.7% / 1年117.5% / 反応57.3点,半導体製造装置の監視,利益成長マイナス: -9.7% / 成長確認: 売上-3.1% / 利益-9.7%,利益成長マイナスを次期見通しや受注で補える。SOX下落時の耐性も確認する。,SOX下落、AI/半導体テーマの失速、決算後反応の指数劣後。,監視継続,-24.5%
2026/05/27 13:17,9,6146.T ディスコ,監視,46.2,9/10,補正46.2点 / PER未取得 / PBR12.74倍 / ROE25.15% / 利益10.9% / 1年103.5% / 反応55.6点,半導体製造装置の高収益監視,未取得: PER / PBR12.74倍,PERを補完し、PBR高を利益成長・受注・決算後反応で説明できる。,SOX下落、AI/半導体テーマの失速、決算後反応の指数劣後。,監視継続,-22.5%
2026/05/27 13:17,10,7011.T 三菱重工業,監視,35.9,10/10,補正35.9点 / PER34.29倍 / PBR4.22倍 / ROE12.22% / 利益26.7% / 1年18.2% / 反応50.6点,防衛・重工テーマの監視,60日最大下落-25.3% / PER34.29倍でやや高め,60日最大下落が改善し、200日線・出来高・防衛/重工テーマの再評価が確認できる。,直近下落が続き、200日線を明確に下回る。,監視継続,-25.3%
