updated_at,rank,ticker,company,sector,nisa_score,plus1_status,event_return_records,event_avg_excess_5d_pct,event_avg_excess_20d_pct,composite_signal,composite_condition,composite_observations,composite_win_rate_3m_pct,composite_avg_return_3m_pct,composite_edge_3m_pct,hard_gate,causality_status,treatment
2026/05/25 22:59,1,4385.T,メルカリ,ネット,79.8,比較上は通過・ゲート保留,0,,,未接続,,,,,,決算後20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,2,2802.T,味の素,食品,67.8,比較上は通過・ゲート保留,4,-0.87,10.43,参考,市場3か月トレンドがプラス,56,64.3,6.487,0.355,決算後20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,3,8316.T,三井住友FG,銀行,65.1,比較上は通過・ゲート保留,0,,,未接続,,,,,,決算後20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,4,5020.T,ENEOS HD,エネルギー,64.3,比較上は通過・ゲート保留,0,,,未接続,,,,,,決算後20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,5,8306.T,三菱UFJ FG,銀行,62.1,比較上は有力,4,1.13,-0.36,未接続,,,,,,なし,追加検証,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,6,6146.T,ディスコ,半導体装置,60.9,比較上は有力,0,,,未接続,,,,,,なし,根拠不足,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,7,6762.T,TDK,電子部品,60.7,比較上は有力,0,,,未接続,,,,,,なし,根拠不足,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,8,6503.T,三菱電機,総合電機,55.6,比較上は通過・ゲート保留,0,,,未接続,,,,,,決算後20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,9,8766.T,東京海上HD,保険,65.4,指数優位・ゲートあり,0,,,未接続,,,,,,決算後反応未接続 / なし / 暫定: 20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
2026/05/25 22:59,10,6367.T,ダイキン工業,空調,52.6,指数優位・ゲートあり,0,,,未接続,,,,,,決算後反応未接続 / なし / 暫定: 20営業日未到達,保留: ゲート残存,不足またはゲートあり。購入検討用スコアには混ぜない。
