checked_at,severity,rule_id,file,line,issue,matched_text,required_action,status
2026/05/25,critical,EVENT_ADDITIVE_SCORE,19_event_log_template.csv,1,イベントを本体点へ加減算している可能性,"event_id,status,event_date,collected_date,market,ticker,company_name,event_group,event_title,importance_1_5,score_action,score_adjustment,reason,source_name,source_url,next_check,checked_by,notes",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,20_event_score_adjustment.csv,1,イベントを本体点へ加減算している可能性,"ticker,name,score_before_event,event_adjustment_total,score_after_event,decision_before,event_count,event_summary,next_check,source_note",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,21_official_event_log.csv,1,イベントを本体点へ加減算している可能性,"event_id,status,event_date,collected_date,market,ticker,company_name,event_group,event_title,importance_1_5,score_action,score_adjustment,reason,source_name,source_url,next_check,checked_by,notes",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,23_tdnet_recent_event_log.csv,1,イベントを本体点へ加減算している可能性,"event_id,status,event_date,collected_date,market,ticker,company_name,event_group,event_title,importance_1_5,score_action,score_adjustment,reason,source_name,source_url,next_check,checked_by,notes",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,25_candidate_event_watch_summary.csv,1,イベントを本体点へ加減算している可能性,"ticker,name,candidate_score,decision_trial,matched_event_count,highest_importance,event_adjustment_total,action,event_titles",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,26_candidate_event_watch_detail.csv,1,イベントを本体点へ加減算している可能性,"ticker,name,candidate_score,event_date,event_group,event_title,importance_1_5,score_action,score_adjustment,source_url,next_check",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,event_collection_hub.html,153,イベントを本体点へ加減算している可能性,<tr><td>score_adjustment</td><td>暫定補正点</td><td>+3、-5、0</td><td>最終スコアの補正候補。確定前は暫定扱い</td></tr>,イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,critical,EVENT_ADDITIVE_SCORE,nisa_1year_score_preview.csv,1,イベントを本体点へ加減算している可能性,"ticker,name,fiscal_period,nisa_1y_score_preliminary,data_coverage_points,decision,base_score_before_event,event_theme_adjustment,event_theme_score_100,event_theme_name,event_theme_decision,event_theme_note,growth_score,growth_max,financial_",イベントは本体点に足さず、成立時/失敗時シナリオとして別枠に分離する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,122_model_improvement_causes.csv,6,検証候補を購入判断に近く見せる表現,"C05,買付タイミング要因,銘柄は悪くないが、買う時期や分割比率が早すぎた,25/75/200日線、出来高、イベント前後リターン,分割投入と移動平均ゲートを見直す",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,125_operation_cockpit_workflow.csv,4,検証候補を購入判断に近く見せる表現,"3,購入前イベント判定,CPI、日銀、FOMC、最終購入前確認の結果で買う/待つを分岐する,june_interactive_operation_dashboard.html,イベント結果、実際の数値、メモ,新規投入0円、注意時13万円、全通過時26万円,手入力 + 自動判定,実装済み,6月イベント後に未入力をなくす",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,125_operation_cockpit_workflow.csv,5,検証候補を購入判断に近く見せる表現,"4,判定記録,買う/見送る判断の根拠をCSVに残す,event_decision_record_viewer.html,イベント判定CSV,総合判定、イベント結果、銘柄別候補額、整合性チェック,CSV出力 + 読み込み確認,実装済み,運用ログへ転記する要約を保存する",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,132_client_handoff_summary.csv,2,検証候補を購入判断に近く見せる表現,"納品物の正体,NISA 1年保有を前提に、日本株の候補選定、購入前イベント判定、資金配分、購入後評価、モデル改善を補助するMVPシステム,銘柄選定の根拠、買う/待つ理由、購入後の評価を数字と記録で残せる",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,132_client_handoff_summary.csv,5,検証候補を購入判断に近く見せる表現,"現時点の投資判断,イベント未入力のため現時点投入額は0円。注意時は最大13万円、全イベント通過時は最大26万円候補,今すぐ買う前提ではなく、安全側に段階投入できる",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,133_client_handoff_usage.csv,6,検証候補を購入判断に近く見せる表現,"5,イベント判定CSV確認,event_decision_record_viewer.html,判定CSVを読み込み、矛盾がないか確認する,買う/見送る理由を記録できる",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,PURCHASE_OVERCLAIM,138_data_acquisition_remaining_actions.csv,6,検証候補を購入判断に近く見せる表現,"候補銘柄IR正式値入力,入力枠あり・正式値未入力,最重要,可能,PDF数値候補は正式値ではない。人間が原文と照合して入力する必要がある。,味の素、三菱商事、東京エレクトロンの購入候補から売上、営業利益、EPS、FCF、還元を正式入力する。,PDF抽出候補を正式決算値として扱わない",購入確定ではなく検証候補、購入検討前チェックへ修正する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,18_event_classification_rules.csv,4,イベントやテーマを点数加算に見せる表現,"自社株買い,自己株式取得、自社株買い、share repurchase,株主還元点に加点候補,規模、期間、発行済株式比率を確認",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,187_tenbagger_score_rules.csv,2,イベントやテーマを点数加算に見せる表現,"売上成長,20,3年CAGRまたは直近前年比が高いほど加点。20%以上を強い候補、10%未満は低評価。,決算短信、IR資料、EDINET有報、Yahoo Finance等",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,187_tenbagger_score_rules.csv,3,イベントやテーマを点数加算に見せる表現,"市場拡大・時流,15,AI、電力、半導体材料、防災、医療、省人化など、需要増の説明と業界統計がある場合に加点。,経産省統計、業界団体、会社説明資料、政策資料",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,187_tenbagger_score_rules.csv,4,イベントやテーマを点数加算に見せる表現,"利益率・事業の質,15,営業利益率、粗利率、ROE、継続的な黒字化を確認。赤字でも赤字縮小なら一部加点。,決算短信、説明資料、有報",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,187_tenbagger_score_rules.csv,5,イベントやテーマを点数加算に見せる表現,"時価総額と上値余地,10,大型株より中小型株を優先。ただし流動性が低すぎる銘柄は減点。,Yahoo Finance、JPX、証券会社画面",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
2026/05/25,high,EVENT_POINT_LANGUAGE,187_tenbagger_score_rules.csv,7,イベントやテーマを点数加算に見せる表現,"株価・出来高の変化,10,52週レンジ、200日線、出来高増加を確認。急騰直後や出来高不足は減点。,Yahoo Finance chart API",検証トリガー、シナリオ、反映前確認に表現を変更する,要修正/要確認
