section,item,required,pass_condition,fail_action,output
gate,市場イベント確認,6月CPI、日銀会合、FOMC後の金利・為替・指数反応を確認する。,CPI悪化、米金利急騰、急な円高、NASDAQ/SOX急落が同時に出ていない。,赤判定なら購入判断停止。黄判定なら個別株比率を落として保守判定へ。,6月イベント判定エンジン
gate,候補10社の根拠確認,量的スコア、質的テーマ、長期安定性、最大下落率、同業比較を確認する。,採点根拠が説明でき、未取得データが中心候補の致命点になっていない。,根拠不足の銘柄は条件付き、補欠、監視へ下げる。,最終10社 判定ワークベンチ
gate,公式決算・指標確認,売上、利益、EPS、PER/PBR/ROE、決算後反応の確認状況を確認する。,公式資料または信頼できるデータで確認済み。未確認値を点数に混ぜない。,未確認データが重要項目なら購入候補にしない。,候補10社 最終確定ロジック
gate,配分・資金管理,1口座240万円の予算、現金待機率、個別株上限、銘柄別上限を確認する。,市場ゲートに応じた上限内。1銘柄集中やテーマ偏重を避けている。,上限超過なら購入金額を下げる。テーマ偏重ならチャンネル別に分散する。,現時点 判定スナップショット
gate,上値・下値ルール,共通ルールと銘柄別補正を確認する。,5%下落、10%下落、決算前後、指数劣後時の扱いが表に残っている。,途中決済・保留・追加確認のルールがない銘柄は購入判断に進めない。,売買ルール・運用表
gate,NISA口座・本人操作,本人名義口座、本人ログイン、本人操作、NISA枠、注文口座区分を確認する。,本人が証券会社画面で最終確認し、口座区分がNISAであることを確認できる。,本人操作・口座区分・NISA枠が未確認なら購入停止。,NISA口座運用ハブ
gate,税制レイヤー,NISA向き、課税口座向き、配当、外国税、損益通算不可を確認する。,税制上の注意が表示され、NISA損失を損益通算できるように扱っていない。,税制確認が必要な銘柄は表示のみ。税務判断として扱わない。,税制確認 Phase 1
gate,記録・検証,予想、購入理由、買わない条件、購入後の実績を記録する。,購入前に期待、リスク、比較指数、撤退条件が記録されている。,記録できない場合はテストの意味が薄くなるため購入判断を保留する。,運用記録CSV
schedule,6/6〜6/9,候補と根拠の最終整理,候補10社、3チャンネル、未確認データ、売買ルールを確認する。,購入はしない。,
schedule,6/10,米CPI確認,金利・為替・NASDAQ/SOX・VIXの反応を入力する。,赤なら購入判断停止。黄なら保守判定。,
schedule,6/15〜6/16,日銀会合確認,円高、国内金利、銀行・商社・半導体への影響を見る。,急な円高や指数割れなら個別株比率を下げる。,
schedule,6/16〜6/17,FOMC確認,米金利、NASDAQ、SOX、VIXの反応を見る。,金利急騰なら半導体・AI系の比率を抑える。,
schedule,6/18以降,一次再判定,市場ゲートと候補ゲートを両方確認する。,緑なら候補別に小さく実行検討。黄なら保守配分。赤なら停止。,
schedule,購入後,検証開始,予想と実績の差、指数との差、下落時対応を記録する。,S&P500/TOPIXに劣後する場合は個別株比率を見直す。,
decision,緑,市場イベントを大きな悪化なく通過,候補10社のうち中心候補を優先。個別上限と現金待機を守る。,,
decision,黄,一部リスクあり、またはデータ未確認が残る,個別株比率を落とし、条件付き候補と補欠中心にする。,,
decision,赤,CPI悪化、金利急騰、急円高、指数急落など,購入判断停止。監視とデータ更新だけ行う。,,
decision,銘柄別赤,下方修正、決算後反応悪化、説明不能な高PERなど,その銘柄は除外または監視へ落とす。ほかの銘柄で埋めない。,,
