updated_at,ticker,company_name,event_date,pdf_no,keyword,hit_no,number_candidates,snippet,source_url,review_status
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,売上,1,15 / 15 / 38 / 5％ / 26.3 / 29.3,土台を構築 ⚫ 次なる成長軸の創出 15 【コア磨き上げ】 競争力ある インフラ・チャネル・商品開発 【グロース成長加速】 効果的なコスト投下・リソースシフト 【コアエンゲージメント向上】 売上拡大・解約率低減 -- 15 of 38 -- 持続的成長に向けて 連結営業利益のCAGR5％成長と事業構造の変革を目指す 営業利益の成長 26.3期 29.3期 （予） LTV重視＋効率化,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,売上,2,"2027 / 1 / 31 / 2,500億円 / 5% / 3 株 / 26.3 / 27.3 / 60,719億円 / 64,100億円 / +5.6% / 11,518億円","2027年1月31日(予定）） うち、2,500億円(上限)の自己株式公開買付けを決議 ⚫ 発行済株式総数5%を超える自己株式消却を決議*3 株主還元 26.3期 27.3期（予） YOY 売上高 60,719億円 64,100億円 +5.6% 調整後 営業利益 11,518億円 12,100億円 +5.0% 調整後 当期利益*1 7,120億円 7,310億円 （防衛増税影響あり",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,1,"15 / 38 / 5％ / 26.3 / 29.3 / 11,518","フラ・チャネル・商品開発 【グロース成長加速】 効果的なコスト投下・リソースシフト 【コアエンゲージメント向上】 売上拡大・解約率低減 -- 15 of 38 -- 持続的成長に向けて 連結営業利益のCAGR5％成長と事業構造の変革を目指す 営業利益の成長 26.3期 29.3期 （予） LTV重視＋効率化 （単位：億円） 11,518 注) 別途注釈がある場合を除き、営業利益・当期利",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,2,"15 / 38 / 5％ / 26.3 / 29.3 / 11,518","的なコスト投下・リソースシフト 【コアエンゲージメント向上】 売上拡大・解約率低減 -- 15 of 38 -- 持続的成長に向けて 連結営業利益のCAGR5％成長と事業構造の変革を目指す 営業利益の成長 26.3期 29.3期 （予） LTV重視＋効率化 （単位：億円） 11,518 注) 別途注釈がある場合を除き、営業利益・当期利益ともに調整後ベース。次スライド以降同様。定義はAp",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,3,"5％ / 26.3 / 29.3 / 11,518 / 26.3","て 連結営業利益のCAGR5％成長と事業構造の変革を目指す 営業利益の成長 26.3期 29.3期 （予） LTV重視＋効率化 （単位：億円） 11,518 注) 別途注釈がある場合を除き、営業利益・当期利益ともに調整後ベース。次スライド以降同様。定義はAppendix参照 * 事業成長による実力値：26.3期架空循環取引に伴う外部流出額、契約コスト減損除き テレコムコア 前中期経営戦",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,4,26.3 / 20.3 / 26.3 / 2.9％ / 27.3 / 29.3 / 5.0％ / 1 / 3,業成長による実力値：26.3期架空循環取引に伴う外部流出額、契約コスト減損除き テレコムコア 前中期経営戦略を超える事業成長を目指す 前中期経営戦略 EPS目標期間（20.3～26.3期） 営業利益*成長 ： CAGR 2.9％ 中期経営戦略予想 （27.3～29.3期） 営業利益成長 ： CAGR 5.0％ 効果的なコスト投下による 成長加速 連結に占める構成比 1/3規模に パーソ,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,5,20.3 / 26.3 / 2.9％ / 27.3 / 29.3 / 5.0％ / 1 / 3 / 16 / 16 / 38,コムコア 前中期経営戦略を超える事業成長を目指す 前中期経営戦略 EPS目標期間（20.3～26.3期） 営業利益*成長 ： CAGR 2.9％ 中期経営戦略予想 （27.3～29.3期） 営業利益成長 ： CAGR 5.0％ 効果的なコスト投下による 成長加速 連結に占める構成比 1/3規模に パーソナル・ ビジネス グロース その他 16 -- 16 of 38 -- テレコムコア,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,6,1 / 3 / 16 / 16 / 38,効果的なコスト投下による 成長加速 連結に占める構成比 1/3規模に パーソナル・ ビジネス グロース その他 16 -- 16 of 38 -- テレコムコア LTVを重視。モバイル収入と営業利益の安定成長を目指す ⚫ LTVを重視した構造変革の継続推進 ⚫ 最適化・効率化 前中期に増収基調に転じたモバイル成長を 新中期でさらに加速 モバイル収入と営業利益の安定成長 (単位：億円),https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,7,26.3 / 29.3,LTVを重視。モバイル収入と営業利益の安定成長を目指す ⚫ LTVを重視した構造変革の継続推進 ⚫ 最適化・効率化 前中期に増収基調に転じたモバイル成長を 新中期でさらに加速 モバイル収入と営業利益の安定成長 (単位：億円) 26.3期 29.3期 (予) モバイル収入 LTVを重視した構造変革の推進と最適化・効率化 事業成長のポイント モバイルARPU増 解約率低減 スマホ純増トレン,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,8,"1t / 1 / 7,765 / 26.3 / 29.3 / 17 / 17 / 38 / 2,204 / 26.3 / 29.3","増トレンド維持 LTV重視の コストアロケーション AIエージェントによる1to1マーケティング強化 AI積極活用と効率的投資によるコスト効率化 7,765 26.3期 29.3期 (予) 営業利益 17 -- 17 of 38 -- パーソナルグロース 通信のお客さま基盤へのサービス浸透、接点拡大で二桁成長を目指す 2,204 26.3期 29.3期 (予) 営業利益 (単位：億円)",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
