ticker,銘柄,長期安定性点,財務割安点,業績成長点,決算後反応点,質的検証点,取得元メモ,対象期メモ,単位メモ,ハードゲート,備考
8316.T,三井住友FG,,,,,,,,,,公式値照合 / 同業中央値比較
8766.T,東京海上HD,,,,,,,,,,公式値照合 / 同業中央値比較
8306.T,三菱UFJ FG,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
7011.T,三菱重工,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
8058.T,三菱商事,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
6501.T,日立製作所,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
8031.T,三井物産,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
5802.T,住友電工,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
5801.T,古河電工,,,,,,,,,,過熱・最大下落確認 / 同業中央値比較
8001.T,伊藤忠商事,,,,,,,,,,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
