updated_at,rank,ticker,company,sector,peer_count,candidate_metric_count,per,sector_per_median,per_vs_sector,pbr,sector_pbr_median,pbr_vs_sector,roe_pct,sector_roe_median_pct,roe_vs_sector,original_valuation_score,adjustment_delta,sector_adjusted_valuation_score,adjustment_status,score_treatment,reason
2026/05/25 20:47,1,4385.T,メルカリ,ネット,2,2,,,未算出,5.79,,未算出,30.52,,未算出,82.9,,,未反映,購入検討用スコアには混ぜない,同業2社、PER 0件、PBR 0件、ROE 0件で基準未満。
2026/05/25 20:47,2,2802.T,味の素,食品,2,3,43.73,,未算出,6.81,,未算出,17.75,,未算出,45.1,,,未反映,購入検討用スコアには混ぜない,同業2社、PER 0件、PBR 0件、ROE 0件で基準未満。
2026/05/25 20:47,3,8316.T,三井住友FG,銀行,3,3,13.61,13.7,同業並み,1.47,1.56,同業並み,10.38,11.34,同業並み,75.1,,,未反映,購入検討用スコアには混ぜない,同業3社、PER 2件、PBR 3件、ROE 3件で基準未満。
2026/05/25 20:47,4,5020.T,ENEOS HD,エネルギー,3,3,8.36,,未算出,1.03,,未算出,8.00,,未算出,75.3,,,未反映,購入検討用スコアには混ぜない,同業3社、PER 0件、PBR 0件、ROE 0件で基準未満。
2026/05/25 20:47,5,8306.T,三菱UFJ FG,銀行,3,2,,13.7,未算出,1.56,1.56,同業並み,11.34,11.34,同業並み,66.2,,,未反映,購入検討用スコアには混ぜない,同業3社、PER 2件、PBR 3件、ROE 3件で基準未満。
2026/05/25 20:47,6,6146.T,ディスコ,半導体装置,5,2,,42,未算出,12.32,12.32,同業並み,25.15,29.56,同業並み,59.6,0,59.6,補正参考可,購入検討用スコアへ入れる前の監査値,同業3社以上かつ候補側指標2項目以上で比較可能。
2026/05/25 20:47,7,6762.T,TDK,電子部品,3,3,26.7,27.62,同業並み,2.75,2.75,同業並み,9.81,8.83,同業並み,56.2,0,56.2,補正参考可,購入検討用スコアへ入れる前の監査値,同業3社以上かつ候補側指標2項目以上で比較可能。
2026/05/25 20:47,8,6503.T,三菱電機,総合電機,2,3,26.09,26.45,同業並み,2.76,3.12,同業並み,9.67,11.3,同業並み,55.9,,,未反映,購入検討用スコアには混ぜない,同業2社、PER 2件、PBR 2件、ROE 2件で基準未満。
2026/05/25 20:47,9,8766.T,東京海上HD,保険,3,3,17.61,15.06,同業並み,2.7,1.42,高い,18.68,17.96,同業並み,63.5,-8,55.5,補正参考可,購入検討用スコアへ入れる前の監査値,同業3社以上かつ候補側指標2項目以上で比較可能。
2026/05/25 20:47,10,6367.T,ダイキン工業,空調,1,3,24.97,24.97,同業並み,2.14,2.14,同業並み,9.1,9.1,同業並み,44,,,未反映,購入検討用スコアには混ぜない,同業1社、PER 1件、PBR 1件、ROE 1件で基準未満。
